key,source,translation
"/cape_hammer_origin","!TEMP! Hammer Cape IS NOT RELEASED.","!TEMP! 大锤披风尚未发布。"
"/cape_iron_golem_origin","!TEMP! Iron Golem Cape IS NOT RELEASED.","!TEMP! 铁傀儡披风尚未发布。"
"/cape_mystery_origin","!TEMP! Mystery Cape IS NOT RELEASED.","!TEMP! 神秘披风尚未发布。"
"/Power_Level","20","20"
"/rewards_DifficultyTokenCounter","3","3"
"/rewards_MysteryTokenCounter","3","3"
"/other_gear_pickup","<First>{Who} picked up</><Second> {Item}</>","<First>{Who} 拾取了</><Second> {Item}</>"
"/Pickup_Notification_Info","<img id=""Default""/><First> {Who} picked up</><Second> {Item}</>","<img id=""Default""/><First>{Who} 拾取了</><Second> {Item}</>"
"/UIHint_LowHealthDescription","A Health Potion will restore your health instantly when consumed.","使用治疗药水可以立刻回复生命值。"
"/cape_herocape_description","A cape fit for heroes who are brave enough to face off against the Arch-Illager.","一件适合那些有着足够的勇气来干翻奇厄教主的英雄的披风。"
"/Cosmetics_Parrot_desc","A parrot makes a perfect companion while traveling the Overworld. Just watch your language.","一只鹦鹉是你周游世界的完美旅伴。你别乱说脏话就行。"
"/cape_sinister_origin","A thank you to our +10 million players.","给数千万玩家的谢礼。"
"/pet_baby_pig_origin","A thank you to our +10 million players.","给数千万玩家的谢礼。"
"/button_accept","ACCEPT","接受"
"/slot_armor","ARMOR","盔甲"
"/slot_item","ARTIFACT","法器"
"/Artifacts_LAbel","ARTIFACTS","法器"
"/missioninspector_toohard","Above Maximum Difficulty","达到最大难度上限"
"/statuseffect_accelerating","Accelerating","加速"
"/TowerRewardAccept","Accept","接受"
"/HUD_AcceptGift","Accept Gift","接受礼物"
"/missionnotification_acceptrequest","Accept Request","接受请求"
"/Accept_Request_Key","Accept request","等待接受"
"/Accessibility_Menu_Button","Accessibility","无障碍"
"/menu_accessibility","Accessibility","无障碍"
"/settings_accessibility","Accessibility","无障碍"
"/AchievementUnlockedString","Achievement Unlocked!","成就已解锁！"
"/Achievement_Name","Achievement_Name","成就名称"
"/Activate_NavBar","Activate","启用"
"/ActivateCrossplay","Activate Cross-Platform Play","启用跨平台游戏"
"/Activate_Online_Play_Btn","Activate Online Play","开启在线游戏"
"/xal_add_controller","Add Controller","添加手柄"
"/Adjust_Brightness_Title","Adjust Brightness","调整亮度"
"/Adjust_Brightness_button","Adjust Brightness","调整亮度"
"/menu_brightnessTitle","Adjust Brightness","调整亮度"
"/settings_brightness","Adjust Brightness","调整亮度"
"/Setting_Brightness","Adjust the brightness of the game.","调整游戏画面亮度。"
"/settings_brightness_hint","Adjust the brightness of the game.","调整游戏画面亮度。"
"/Adjust_Brightness_Hint","Adjust the brightness of your screen","调整屏幕亮度"
"/menu_brightnessSubtitle","Adjust the brightness of your screen","调整屏幕亮度"
"/settings_musicVolume_hint","Adjust the music volume level in-game.","调整游戏中的音乐音量大小。"
"/Hud_Scale_Hint","Adjust the scale of the HUD.","调整HUD的大小。"
"/settings_hudScale_hint","Adjust the scale of the HUD.","调整HUD的大小。"
"/AudioSettings_videoVolume_desc","Adjust the volume of all audio in the pre-rendered cinematics.","调整预渲染动画的音量大小。"
"/settings_menuMusicVolume_hint","Adjust the volume of ambient sound effects.","调整环境音量大小。"
"/settiings_dialogueVolume_hint","Adjust the volume of dialogue spoken in game and cutscenes.","调整过场动画和对话音量大小。"
"/settings_sfxVolume_hint","Adjust the volume of sound effects.","调整音效音量大小。"
"/settings_fpsLimit_hint","Adjusts the FPS limit for the game.","调整帧率上限值。"
"/settings_antiAliasingQuality_hint","Adjusts the anti-aliasing quality. A lower quality is better for performance.","调整抗锯齿质量，低质量有利于提升性能。"
"/settings_displayMode_hint","Adjusts the display mode of the game.","调整游戏的显示模式。"
"/settings_masterVolume_hint","Adjusts the master volume of the game.","调整游戏主音量大小。"
"/settings_resolution_hint","Adjusts the resolution of the game. Lower resolutions have better performance. Low to high list sort.","调整游戏分辨率。低分辨率有利于性能提升。性能从低到高逐渐下降。"
"/settings_ShadowQuality_hint","Adjusts the shadow quality. A lower shadow quality may result in better performance.","调整阴影质量，低质量有利于提升性能。"
"/settings_deadzoneLeft_hint","Adjusts the size of the dead zone of the left stick, which determines how far you must push the stick before input is registered.","调整左摇杆死区大小，这将决定操作输入被接受之前必须将摇杆推往多远的幅度。"
"/settings_deadzoneRight_hint","Adjusts the size of the dead zone of the right stick, which determines how far you must push the stick before input is registered.","调整右摇杆死区大小，这将决定操作输入被接受之前必须将摇杆推往多远的幅度。"
